"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"",1836.1123806959,1.3888088688124,0.134872917322715,2.882779408427,0.00394183375809738,0.0418371704080603
"1110002E22Rik",10.1010262461721,5.08550018045543,0.670509529932601,6.09312768584527,1.10725673214315e-09,4.99384000464617e-08
"1500009L16Rik",40.5823197258011,2.03456145528616,0.215920654339853,4.79139644351852,1.65624499004408e-06,4.12185855601173e-05
"1700001F09Rik",4.23464190853634,5.02533672933681,0.939954074173267,4.28248234667984,1.84819799241094e-05,0.000370036857006657
"1700019D03Rik",30.4411702805924,-2.02473431363939,0.330103554942604,-3.10428136351806,0.00190741844386873,0.0224359664344655
"1700020N01Rik",4.18415324365975,-3.76172840813057,0.821059531790518,-3.36361530583289,0.000769286928914212,0.0101744568062819
"1700028J19Rik",123.885735522856,-2.10341847739731,0.317294996642245,-3.47757918994679,0.000505963569162421,0.0070722474579529
"2200002D01Rik",235.620215568562,2.54147610495564,0.217150638958829,7.09864871844978,1.25982572816942e-12,8.7699114123566e-11
"2610318N02Rik",10.3633956958189,2.25927731899861,0.404224880000646,3.11528899209914,0.00183764773240486,0.0216836275625713
"2610528J11Rik",569.65708458618,-1.55392129631095,0.191788939571068,-2.88818165192313,0.00387476031267604,0.0411924926501392
"2700099C18Rik",18.8647191047497,2.05055868980239,0.306675036373567,3.42564136365727,0.000613349665621208,0.00836661981116907
"4833439L19Rik",10458.3363068101,-1.71388569419976,0.202350068958106,-3.52797356519588,0.000418753973521137,0.00596160587776344
"4930503L19Rik",78.3865075048277,1.50903415146756,0.17592959619658,2.89339691826936,0.0038109936147245,0.0406556439783131
"4931406C07Rik",7610.04941226728,-2.27912520415635,0.221668788452536,-5.77043440840674,7.90674373667063e-09,3.12853249574662e-07
"4933417A18Rik",20.6086368227007,-2.88774068077282,0.468406112951655,-4.03013673087494,5.57444173973938e-05,0.000996724450375156
"9030619P08Rik",403.977691886996,-4.43164805921759,0.721588938286343,-4.75568274004754,1.97776862426431e-06,4.81782466491086e-05
"9530053A07Rik",6.94717181687569,2.95568955337014,0.4827547350051,4.05110382469781,5.09765802106164e-05,0.000919882735700984
